0.4211,0.4121,0.3987,0.3846,0.3667,0.3403,0.3191,0.3007,0.2849,0.2719,0.2639,0.2537,0.2388,0.2213,0.2122,0.2029,0.1939,0.1841,0.1745,0.1666,0.1605,0.1504,0.1423,0.1321,0.1218,0.1092,0.0996,0.0921,0.0823,0.0743,0.0657,0.0586,0.0542,0.0485,0.0423,0.0308,0.0209,0.0198,0.0192,0.0187,0.0182,0.0177,0.0174,0.0171,0.0174,0.0168,0.0162,0.0153,0.0141,0.0133,0.0133,0.0129,0.0121,0.0093,0.0059,0.0043,0.0028,0.0018,0.0011,0.0007,0.0008,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4711,0.4622,0.4527,0.4412,0.4172,0.3956,0.3771,0.3550,0.3356,0.3211,0.3076,0.2905,0.2736,0.2531,0.2360,0.2237,0.2054,0.1927,0.1758,0.1634,0.1588,0.1527,0.1398,0.1257,0.1163,0.1010,0.0881,0.0783,0.0705,0.0637,0.0585,0.0558,0.0511,0.0443,0.0380,0.0339,0.0309,0.0300,0.0289,0.0280,0.0272,0.0262,0.0260,0.0257,0.0248,0.0241,0.0245,0.0232,0.0222,0.0212,0.0201,0.0195,0.0187,0.0172,0.0150,0.0132,0.0119,0.0107,0.0107,0.0097,0.0093,0.0095,0.0098,0.0095,0.0089,0.0088,0.0094,0.0088,0.0079,0.0072,0.0069,0.0069,0.0069,0.0065,0.0061,0.0058,0.0058,0.0055,0.0060,0.0058,0.0057,0.0058,0.0061,0.0059,0.0059,0.0063,0.0062,0.0058,0.0057,0.0055
0.4142,0.4037,0.3851,0.3664,0.3450,0.3211,0.2977,0.2722,0.2668,0.2666,0.2639,0.2615,0.2567,0.2492,0.2378,0.2271,0.2143,0.2042,0.1928,0.1803,0.1667,0.1571,0.1499,0.1372,0.1278,0.1189,0.1067,0.0970,0.0908,0.0816,0.0743,0.0714,0.0676,0.0636,0.0587,0.0552,0.0528,0.0510,0.0497,0.0485,0.0455,0.0432,0.0422,0.0402,0.0381,0.0368,0.0365,0.0350,0.0341,0.0322,0.0304,0.0296,0.0293,0.0294,0.0298,0.0292,0.0279,0.0257,0.0250,0.0228,0.0214,0.0209,0.0202,0.0194,0.0190,0.0182,0.0182,0.0187,0.0174,0.0159,0.0152,0.0147,0.0138,0.0127,0.0125,0.0120,0.0118,0.0113,0.0106,0.0104,0.0099,0.0091,0.0088,0.0085,0.0080,0.0079,0.0066,0.0062,0.0065,0.0054
0.3055,0.2984,0.2989,0.2945,0.2846,0.2717,0.2542,0.2340,0.2162,0.1974,0.1847,0.1716,0.1568,0.1516,0.1415,0.1384,0.1380,0.1333,0.1289,0.1242,0.1167,0.1109,0.1059,0.1016,0.0986,0.0951,0.0902,0.0880,0.0854,0.0808,0.0760,0.0734,0.0720,0.0706,0.0699,0.0708,0.0700,0.0671,0.0644,0.0589,0.0544,0.0538,0.0535,0.0524,0.0517,0.0518,0.0516,0.0509,0.0517,0.0524,0.0530,0.0523,0.0518,0.0511,0.0501,0.0495,0.0494,0.0487,0.0482,0.0473,0.0455,0.0454,0.0451,0.0448,0.0433,0.0426,0.0418,0.0413,0.0408,0.0397,0.0393,0.0391,0.0380,0.0377,0.0381,0.0357,0.0346,0.0354,0.0350,0.0349,0.0348,0.0347,0.0344,0.0340,0.0331,0.0331,0.0322,0.0322,0.0320,0.0314
0.2153,0.2060,0.2004,0.1992,0.1920,0.1823,0.1747,0.1688,0.1626,0.1529,0.1423,0.1320,0.1253,0.1189,0.1115,0.1052,0.0993,0.0953,0.0908,0.0852,0.0815,0.0781,0.0767,0.0748,0.0730,0.0741,0.0732,0.0709,0.0705,0.0679,0.0648,0.0620,0.0607,0.0603,0.0595,0.0589,0.0573,0.0562,0.0549,0.0540,0.0522,0.0518,0.0501,0.0471,0.0444,0.0431,0.0423,0.0418,0.0416,0.0417,0.0414,0.0407,0.0399,0.0389,0.0384,0.0375,0.0373,0.0367,0.0361,0.0348,0.0332,0.0320,0.0312,0.0304,0.0286,0.0280,0.0270,0.0269,0.0264,0.0258,0.0247,0.0238,0.0238,0.0226,0.0220,0.0208,0.0199,0.0186,0.0190,0.0183,0.0175,0.0173,0.0166,0.0151,0.0149,0.0147,0.0143,0.0131,0.0131,0.0129
0.1182,0.1109,0.1025,0.0988,0.0950,0.0902,0.0854,0.0815,0.0770,0.0739,0.0699,0.0675,0.0660,0.0628,0.0596,0.0559,0.0536,0.0516,0.0518,0.0513,0.0502,0.0488,0.0469,0.0448,0.0420,0.0391,0.0376,0.0363,0.0341,0.0317,0.0297,0.0285,0.0267,0.0257,0.0252,0.0246,0.0235,0.0232,0.0224,0.0209,0.0201,0.0193,0.0183,0.0184,0.0209,0.0174,0.0165,0.0155,0.0152,0.0156,0.0148,0.0154,0.0146,0.0148,0.0143,0.0144,0.0141,0.0138,0.0133,0.0130,0.0129,0.0122,0.0122,0.0125,0.0120,0.0108,0.0110,0.0109,0.0109,0.0113,0.0102,0.0101,0.0102,0.0098,0.0094,0.0091,0.0096,0.0091,0.0089,0.0080,0.0074,0.0075,0.0080,0.0069,0.0070,0.0064,0.0067,0.0058,0.0060,0.0056
0.1583,0.1507,0.1437,0.1374,0.1312,0.1281,0.1242,0.1206,0.1173,0.1155,0.1113,0.1042,0.0998,0.0949,0.0896,0.0838,0.0783,0.0735,0.0696,0.0659,0.0628,0.0600,0.0581,0.0554,0.0528,0.0497,0.0480,0.0468,0.0445,0.0391,0.0363,0.0337,0.0308,0.0290,0.0251,0.0214,0.0211,0.0206,0.0203,0.0195,0.0190,0.0195,0.0187,0.0183,0.0174,0.0173,0.0169,0.0158,0.0151,0.0145,0.0140,0.0138,0.0134,0.0135,0.0131,0.0126,0.0118,0.0117,0.0115,0.0109,0.0104,0.0100,0.0098,0.0090,0.0093,0.0089,0.0089,0.0086,0.0084,0.0081,0.0079,0.0078,0.0079,0.0075,0.0066,0.0064,0.0066,0.0066,0.0064,0.0065,0.0061,0.0062,0.0066,0.0068,0.0066,0.0067,0.0067,0.0067,0.0067,0.0076
0.1557,0.1507,0.1455,0.1410,0.1355,0.1322,0.1278,0.1255,0.1232,0.1207,0.1192,0.1160,0.1155,0.1133,0.1110,0.1081,0.1051,0.1003,0.0956,0.0937,0.0913,0.0890,0.0873,0.0876,0.0860,0.0836,0.0811,0.0805,0.0803,0.0779,0.0756,0.0721,0.0659,0.0618,0.0558,0.0520,0.0500,0.0487,0.0476,0.0439,0.0430,0.0423,0.0406,0.0385,0.0368,0.0362,0.0361,0.0350,0.0340,0.0329,0.0316,0.0306,0.0292,0.0288,0.0285,0.0281,0.0265,0.0250,0.0240,0.0242,0.0238,0.0222,0.0217,0.0211,0.0197,0.0185,0.0182,0.0175,0.0170,0.0161,0.0156,0.0150,0.0148,0.0144,0.0135,0.0134,0.0131,0.0129,0.0126,0.0121,0.0135,0.0140,0.0137,0.0133,0.0132,0.0124,0.0135,0.0140,0.0147,0.0162
0.1312,0.1317,0.1301,0.1283,0.1262,0.1249,0.1225,0.1199,0.1193,0.1202,0.1169,0.1143,0.1113,0.1103,0.1102,0.1093,0.1082,0.1055,0.1024,0.0994,0.0979,0.0969,0.0980,0.1018,0.1024,0.1007,0.1007,0.1008,0.1030,0.1050,0.1081,0.1097,0.1047,0.1052,0.1011,0.0943,0.0902,0.0899,0.0915,0.0890,0.0871,0.0846,0.0789,0.0740,0.0702,0.0687,0.0694,0.0681,0.0663,0.0644,0.0644,0.0653,0.0628,0.0597,0.0572,0.0561,0.0521,0.0489,0.0473,0.0509,0.0524,0.0496,0.0493,0.0485,0.0440,0.0416,0.0409,0.0387,0.0350,0.0316,0.0292,0.0280,0.0262,0.0251,0.0252,0.0241,0.0250,0.0239,0.0222,0.0209,0.0206,0.0209,0.0203,0.0195,0.0183,0.0171,0.0173,0.0184,0.0175,0.0177
0.1108,0.1102,0.1079,0.1057,0.1053,0.1033,0.1021,0.0991,0.0967,0.0947,0.0937,0.0925,0.0915,0.0910,0.0898,0.0888,0.0861,0.0840,0.0823,0.0795,0.0779,0.0767,0.0746,0.0741,0.0744,0.0749,0.0739,0.0733,0.0726,0.0715,0.0721,0.0723,0.0716,0.0701,0.0680,0.0667,0.0643,0.0611,0.0600,0.0578,0.0560,0.0553,0.0538,0.0528,0.0516,0.0504,0.0485,0.0482,0.0480,0.0477,0.0468,0.0468,0.0465,0.0447,0.0439,0.0431,0.0419,0.0421,0.0418,0.0417,0.0399,0.0388,0.0374,0.0363,0.0348,0.0338,0.0335,0.0334,0.0320,0.0306,0.0306,0.0292,0.0282,0.0278,0.0271,0.0254,0.0265,0.0261,0.0249,0.0246,0.0245,0.0238,0.0228,0.0230,0.0223,0.0221,0.0217,0.0215,0.0210,0.0212
