0.0880,0.0155,0.0078
0.1786,0.0220,0.0109
0.1851,0.0342,0.0175
0.1391,0.0577,0.0383
0.0895,0.0386,0.0206
0.0571,0.0209,0.0086
0.0666,0.0123,0.0010
0.0853,0.0247,0.0040
0.0955,0.0482,0.0198
0.0768,0.0443,0.0174
0.0681,0.0422,0.0235
0.0640,0.0458,0.0288
0.0680,0.0556,0.0360
0.0492,0.0300,0.0177
0.0529,0.0486,0.0449
0.2245,0.2000,0.1858
0.2652,0.1644,0.1004
0.1535,0.0028,0.0017
0.1930,0.0261,0.0024
0.1782,0.0515,0.0333
0.1662,0.0810,0.0675
0.1319,0.0794,0.0570
0.1121,0.0563,0.0408
0.1116,0.0659,0.0381
0.0917,0.0428,0.0227
0.1035,0.0645,0.0391
0.0919,0.0657,0.0535
0.1632,0.0792,0.0448
0.1534,0.0669,0.0436
0.0564,0.0284,0.0208
0.4887,0.4190,0.3926
0.6583,0.5607,0.4879
0.6902,0.4972,0.4023
0.5144,0.2317,0.1813
0.3187,0.0380,0.0111
0.1619,0.0175,0.0081
