0.2843,0.2714,0.2642,0.2572,0.2353,0.2085,0.2011,0.1722,0.1359,0.1089,0.0911,0.0864,0.0816,0.0732,0.0628,0.0546,0.0559,0.0548,0.0535,0.0529,0.0512,0.0519,0.0514,0.0525,0.0540,0.0545,0.0538,0.0531,0.0505,0.0506,0.0513,0.0525,0.0537,0.0511,0.0467,0.0392,0.0349,0.0317,0.0295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.4049,0.3951,0.3819,0.3803,0.3686,0.3391,0.3197,0.2975,0.2638,0.2362,0.2128,0.1970,0.1889,0.1788,0.1622,0.1472,0.1344,0.1257,0.1193,0.1100,0.0977,0.0908,0.0799,0.0735,0.0631,0.0575,0.0545,0.0528,0.0460,0.0414,0.0392,0.0387,0.0388,0.0367,0.0335,0.0271,0.0237,0.0222,0.0198,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.4454,0.4388,0.4327,0.4248,0.4208,0.3949,0.3738,0.3567,0.3308,0.3049,0.2894,0.2655,0.2485,0.2452,0.2254,0.2104,0.1955,0.1811,0.1668,0.1519,0.1365,0.1304,0.1276,0.1167,0.1091,0.1050,0.1026,0.1015,0.1000,0.0931,0.0897,0.0864,0.0855,0.0860,0.0821,0.0796,0.0796,0.0820,0.0826,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.3266,0.3145,0.2993,0.2868,0.2851,0.2831,0.2776,0.2709,0.2649,0.2598,0.2606,0.2444,0.2356,0.2413,0.2445,0.2347,0.2289,0.2240,0.2208,0.2122,0.2022,0.1971,0.1981,0.1913,0.1832,0.1762,0.1689,0.1614,0.1593,0.1500,0.1441,0.1384,0.1366,0.1355,0.1323,0.1281,0.1215,0.1152,0.1075,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.2006,0.1954,0.1798,0.1635,0.1602,0.1571,0.1598,0.1607,0.1609,0.1574,0.1555,0.1449,0.1283,0.1205,0.1172,0.1118,0.1070,0.1036,0.1005,0.1002,0.0950,0.0913,0.0910,0.0896,0.0817,0.0769,0.0692,0.0630,0.0599,0.0561,0.0528,0.0535,0.0546,0.0564,0.0573,0.0556,0.0534,0.0502,0.0510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1462,0.1429,0.1329,0.1164,0.1060,0.0950,0.0908,0.0891,0.0879,0.0846,0.0816,0.0731,0.0579,0.0485,0.0515,0.0509,0.0495,0.0474,0.0500,0.0503,0.0498,0.0479,0.0467,0.0474,0.0459,0.0449,0.0422,0.0404,0.0398,0.0394,0.0370,0.0345,0.0322,0.0312,0.0324,0.0329,0.0287,0.0227,0.0228,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1325,0.1248,0.1235,0.1174,0.1049,0.0989,0.0961,0.0924,0.0944,0.0943,0.0905,0.0889,0.0818,0.0635,0.0591,0.0588,0.0553,0.0495,0.0444,0.0427,0.0410,0.0409,0.0414,0.0399,0.0356,0.0328,0.0327,0.0287,0.0258,0.0247,0.0232,0.0197,0.0167,0.0137,0.0133,0.0118,0.0110,0.0091,0.0088,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1371,0.1300,0.1256,0.1230,0.1095,0.1049,0.0946,0.0861,0.0831,0.0823,0.0811,0.0756,0.0729,0.0533,0.0399,0.0366,0.0310,0.0248,0.0182,0.0141,0.0134,0.0136,0.0127,0.0114,0.0103,0.0086,0.0070,0.0053,0.0041,0.0025,0.0016,0.0016,0.0016,0.0012,0.0010,0.0010,0.0011,0.0012,0.0018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0881,0.0842,0.0795,0.0762,0.0716,0.0740,0.0668,0.0611,0.0577,0.0575,0.0565,0.0532,0.0520,0.0457,0.0411,0.0371,0.0346,0.0339,0.0313,0.0293,0.0265,0.0254,0.0240,0.0198,0.0190,0.0188,0.0165,0.0147,0.0136,0.0100,0.0042,0.0030,0.0024,0.0012,0.0008,0.0009,0.0007,0.0007,0.0011,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1019,0.1012,0.0921,0.0843,0.0848,0.0824,0.0782,0.0708,0.0654,0.0664,0.0645,0.0530,0.0534,0.0519,0.0484,0.0457,0.0463,0.0538,0.0454,0.0412,0.0371,0.0389,0.0405,0.0366,0.0377,0.0365,0.0356,0.0335,0.0298,0.0283,0.0270,0.0246,0.0251,0.0177,0.0179,0.0181,0.0166,0.0165,0.0166,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
