0.5199,0.5143,0.4715,0.4257,0.3989,0.3840,0.3660,0.3416,0.3203,0.3098,0.2631,0.2329,nan,nan,0.1720,0.1570,0.1285,0.1024,0.0777,0.0582,0.0453,0.0346,0.0263,0.0213,0.0172,0.0130,0.0072,0.0045,0.0019,0.0008,0.0004,0.0000,0.0000,0.0001,0.0002,0.0003,0.0007,0.0008,0.0007,0.0006,0.0010,0.0009,0.0008,0.0010,0.0005,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan,nan,nan,nan,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002,0.0001,0.0000,0.0000,0.0000,0.0001,0.0004
0.6109,0.6056,0.5993,0.5601,0.5280,0.5258,0.5200,0.4932,0.4696,0.4569,0.3995,0.3442,nan,nan,0.2156,0.1908,0.1630,0.1389,0.1230,0.0951,0.0712,0.0552,0.0407,0.0335,0.0284,0.0219,0.0153,0.0114,0.0081,0.0050,0.0041,0.0027,0.0020,0.0016,0.0015,0.0015,0.0012,0.0016,0.0007,0.0006,0.0003,0.0001,0.0003,0.0006,0.0003,0.0003,0.0004,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0002,0.0000,0.0001,0.0003,nan,nan,nan,nan,0.0009,0.0019,0.0021,0.0030,0.0033,0.0026,0.0023,0.0030,0.0030,0.0027,0.0030,0.0047,0.0049,0.0054,0.0065,0.0056,0.0040,0.0049,0.0060
0.3658,0.3516,0.3497,0.3364,0.3149,0.3041,0.2846,0.2645,0.2504,0.2466,0.2344,0.2197,nan,nan,0.1823,0.1770,0.1697,0.1639,0.1558,0.1434,0.1258,0.1111,0.0978,0.0897,0.0866,0.0753,0.0657,0.0589,0.0498,0.0419,0.0387,0.0369,0.0342,0.0334,0.0322,0.0326,0.0330,0.0326,0.0304,0.0301,0.0310,0.0300,0.0298,0.0299,0.0278,0.0269,0.0244,0.0253,0.0115,0.0223,0.0200,0.0000,0.0159,0.0180,0.0183,0.0167,0.0157,0.0134,0.0117,0.0131,0.0119,0.0114,0.0086,0.0058,0.0046,0.0059,0.0058,nan,nan,nan,nan,0.0045,0.0045,0.0030,0.0033,0.0034,0.0031,0.0027,0.0028,0.0016,0.0012,0.0006,0.0008,0.0010,0.0007,0.0012,0.0012,0.0005,0.0010,0.0010
0.1771,0.1690,0.1664,0.1683,0.1664,0.1580,0.1501,0.1445,0.1363,0.1301,0.1303,0.1227,nan,nan,0.0938,0.0924,0.0911,0.0862,0.0841,0.0823,0.0807,0.0768,0.0748,0.0690,0.0692,0.0688,0.0663,0.0627,0.0602,0.0556,0.0496,0.0509,0.0496,0.0491,0.0426,0.0411,0.0393,0.0385,0.0358,0.0344,0.0349,0.0318,0.0335,0.0342,0.0347,0.0328,0.0320,0.0304,0.0274,0.0223,0.0212,0.0000,0.0076,0.0077,0.0065,0.0052,0.0048,0.0052,0.0051,0.0046,0.0046,0.0057,0.0020,0.0033,0.0041,0.0037,0.0056,nan,nan,nan,nan,0.0032,0.0041,0.0035,0.0038,0.0039,0.0038,0.0045,0.0048,0.0042,0.0041,0.0045,0.0051,0.0052,0.0046,0.0071,0.0068,0.0071,0.0079,0.0075
0.0907,0.0891,0.0888,0.0868,0.0857,0.0870,0.0875,0.0838,0.0774,0.0719,0.0692,0.0679,nan,nan,0.0398,0.0414,0.0403,0.0390,0.0383,0.0386,0.0387,0.0372,0.0386,0.0348,0.0354,0.0364,0.0376,0.0370,0.0360,0.0353,0.0319,0.0351,0.0374,0.0356,0.0331,0.0327,0.0327,0.0315,0.0266,0.0262,0.0270,0.0254,0.0278,0.0275,0.0299,0.0300,0.0302,0.0319,0.0314,0.0268,0.0279,0.0000,0.0131,0.0147,0.0147,0.0131,0.0114,0.0116,0.0108,0.0111,0.0104,0.0137,0.0053,0.0040,0.0080,0.0065,0.0097,nan,nan,nan,nan,0.0083,0.0109,0.0093,0.0094,0.0097,0.0093,0.0095,0.0100,0.0094,0.0109,0.0107,0.0098,0.0100,0.0095,0.0129,0.0117,0.0117,0.0135,0.0139
0.0577,0.0571,0.0589,0.0589,0.0587,0.0593,0.0590,0.0572,0.0565,0.0525,0.0530,0.0533,nan,nan,0.0357,0.0375,0.0382,0.0395,0.0395,0.0390,0.0384,0.0378,0.0406,0.0377,0.0371,0.0395,0.0404,0.0403,0.0411,0.0400,0.0361,0.0365,0.0365,0.0347,0.0345,0.0325,0.0300,0.0231,0.0209,0.0226,0.0237,0.0216,0.0246,0.0229,0.0290,0.0281,0.0280,0.0272,0.0258,0.0223,0.0254,0.0000,0.0195,0.0186,0.0147,0.0134,0.0116,0.0135,0.0094,0.0101,0.0084,0.0175,0.0057,0.0071,0.0068,0.0062,0.0086,nan,nan,nan,nan,0.0054,0.0092,0.0069,0.0070,0.0067,0.0058,0.0062,0.0062,0.0057,0.0064,0.0071,0.0070,0.0061,0.0052,0.0074,0.0077,0.0076,0.0069,0.0052
0.0990,0.0950,0.0941,0.0923,0.0909,0.0911,0.0858,0.0861,0.0835,0.0778,0.0780,0.0788,nan,nan,0.0545,0.0510,0.0501,0.0516,0.0503,0.0515,0.0479,0.0459,0.0464,0.0438,0.0414,0.0428,0.0413,0.0394,0.0385,0.0370,0.0356,0.0349,0.0328,0.0319,0.0295,0.0275,0.0246,0.0199,0.0182,0.0189,0.0217,0.0186,0.0184,0.0173,0.0196,0.0210,0.0198,0.0198,0.0186,0.0172,0.0199,0.0000,0.0135,0.0137,0.0116,0.0118,0.0123,0.0144,0.0121,0.0112,0.0146,0.0045,0.0083,0.0122,0.0107,0.0111,0.0130,nan,nan,nan,nan,0.0109,0.0131,0.0142,0.0149,0.0149,0.0152,0.0164,0.0163,0.0160,0.0175,0.0180,0.0168,0.0162,0.0148,0.0180,0.0190,0.0207,0.0222,0.0200
0.0804,0.0789,0.0748,0.0731,0.0730,0.0701,0.0706,0.0710,0.0717,0.0702,0.0712,0.0717,nan,nan,0.0617,0.0587,0.0580,0.0604,0.0586,0.0593,0.0580,0.0550,0.0593,0.0584,0.0541,0.0544,0.0541,0.0505,0.0510,0.0500,0.0492,0.0454,0.0443,0.0444,0.0423,0.0397,0.0409,0.0382,0.0310,0.0277,0.0299,0.0258,0.0260,0.0265,0.0274,0.0286,0.0268,0.0276,0.0271,0.0253,0.0248,0.0000,0.0256,0.0239,0.0209,0.0198,0.0195,0.0210,0.0197,0.0164,0.0182,0.0200,0.0000,0.0155,0.0149,0.0137,0.0138,nan,nan,nan,nan,0.0096,0.0106,0.0096,0.0097,0.0097,0.0094,0.0103,0.0094,0.0089,0.0097,0.0102,0.0096,0.0085,0.0069,0.0078,0.0082,0.0071,0.0067,0.0060
0.0391,0.0376,0.0357,0.0349,0.0340,0.0291,0.0275,0.0269,0.0258,0.0260,0.0284,0.0331,nan,nan,0.0253,0.0249,0.0220,0.0260,0.0268,0.0286,0.0278,0.0237,0.0260,0.0270,0.0263,0.0279,0.0277,0.0279,0.0260,0.0232,0.0237,0.0236,0.0224,0.0202,0.0164,0.0155,0.0166,0.0148,0.0095,0.0114,0.0150,0.0130,0.0132,0.0136,0.0147,0.0157,0.0156,0.0151,0.0129,0.0151,0.0162,0.0000,0.0108,0.0164,0.0186,0.0164,0.0162,0.0169,0.0180,0.0189,0.0162,0.0145,0.0000,0.0137,0.0128,0.0101,0.0142,nan,nan,nan,nan,0.0064,0.0069,0.0069,0.0075,0.0074,0.0091,0.0095,0.0087,0.0083,0.0108,0.0104,0.0119,0.0127,0.0117,0.0117,0.0121,0.0109,0.0111,0.0117
0.0494,0.0484,0.0482,0.0462,0.0460,0.0408,0.0404,0.0407,0.0383,0.0395,0.0394,0.0421,nan,nan,0.0426,0.0425,0.0379,0.0351,0.0366,0.0371,0.0364,0.0352,0.0356,0.0363,0.0357,0.0350,0.0349,0.0382,0.0364,0.0341,0.0346,0.0344,0.0332,0.0327,0.0292,0.0308,0.0316,0.0323,0.0292,0.0209,0.0239,0.0209,0.0241,0.0231,0.0225,0.0228,0.0233,0.0218,0.0209,0.0217,0.0264,0.0000,0.0000,0.0232,0.0235,0.0195,0.0238,0.0244,0.0239,0.0000,0.0227,0.0177,0.0000,0.0176,0.0186,0.0169,0.0138,nan,nan,nan,nan,0.0119,0.0101,0.0115,0.0117,0.0139,0.0141,0.0136,0.0135,0.0133,0.0147,0.0129,0.0125,0.0132,0.0121,0.0132,0.0126,0.0111,0.0110,0.0110
