0.1121,0.3087,0.5721,0.7098
0.1423,0.2784,0.4788,0.6513
0.1352,0.2797,0.3954,0.4908
0.1003,0.2263,0.3467,0.4328
0.0748,0.1470,0.2557,0.3434
0.0829,0.1478,0.2251,0.2979
0.1762,0.2338,0.2947,0.3414
0.2365,0.3223,0.4031,0.4542
0.1619,0.2349,0.2995,0.3427
0.1190,0.1774,0.2247,0.2563
0.1145,0.1627,0.1926,0.2205
0.1107,0.1636,0.1790,0.1864
0.0808,0.1191,0.1384,0.1560
0.0702,0.0970,0.1060,0.1172
0.1200,0.1483,0.1573,0.1703
0.2191,0.2395,0.2405,0.2462
0.2942,0.3557,0.3549,0.3569
0.3650,0.4188,0.4460,0.4527
0.3866,0.4102,0.4285,0.4443
0.3803,0.4407,0.4696,0.4802
0.3311,0.4272,0.5050,0.5335
0.2693,0.3938,0.4939,0.5683
0.2549,0.3566,0.4342,0.4774
0.2130,0.2875,0.3309,0.3480
0.1798,0.2538,0.2949,0.3111
0.1543,0.2255,0.2570,0.2761
0.0977,0.1596,0.1986,0.2190
0.1232,0.1915,0.2292,0.2518
0.0591,0.1425,0.1922,0.2148
0.0159,0.0315,0.0598,0.0987
0.4815,0.4969,0.5047,0.5065
0.6412,0.6792,0.6934,0.7059
0.6219,0.7045,0.7436,0.7680
0.5016,0.6348,0.6926,0.7369
0.3033,0.5187,0.5929,0.6223
0.1511,0.3951,0.5694,0.6381
