  0.1004,  0.1073,  0.1094,  0.1127,  0.1174,  0.1134,  0.1105,  0.1207,  0.1349,  0.1470,  0.1643,  0.1823,  0.1949,  0.1878,  0.1717,  0.1624,  0.1608,  0.1618,  0.1667,  0.1724,  0.1752,  0.1798,  0.1998,  0.2315,  0.2342,  0.2289,  0.2181,  0.2122,  0.2044,  0.1925,  0.1933,  0.1974,  0.1938,  0.1868,  0.1815,  0.1715,  0.1683,  0.1658,  0.1668,  0.1737,  0.1946,  0.2244,  0.2807,  0.3042,  0.3061,  0.3173,  0.3306,  0.3640,  0.3767,  0.3747,  0.3869,  0.3995,  0.3976,  0.4042,  0.4316,  0.4556,  0.4655,  0.4631,  0.4674,  0.4748,  0.4880,  0.5098,  0.5406,  0.5838,  0.6147,  0.6394,  0.6556,  0.6564,  0.6504,  0.6459,  0.6421,  0.6447,  0.6308,  0.6059,  0.5786,  0.5539,  0.5438,  0.5459,  0.5586,  0.5706,  0.5893,  0.6097,  0.6439,  0.6794,  0.7026,  0.7162,  0.7107,  0.6939,  0.6939,  0.7047,  0.7083,  0.7190,  0.7204,  0.7192,  0.7111,  0.6974,  0.6940,  0.7057,  0.6964,  0.7010,  0.7331,  0.7386,  0.7257,  0.7039,  0.6920,  0.6913,  0.6758,  0.6677,  0.6730,  0.6823,  0.6733,  0.6623,  0.6534,  0.6400,  0.6223,  0.6143,  0.6187,  0.6574,  0.6708,  0.6612,  0.6568,  0.6712,  0.6705,
  0.1041,  0.1125,  0.1148,  0.1249,  0.1319,  0.1259,  0.1267,  0.1361,  0.1531,  0.1679,  0.1822,  0.2003,  0.2232,  0.2366,  0.2335,  0.2232,  0.2144,  0.2077,  0.2132,  0.2231,  0.2309,  0.2417,  0.2576,  0.2750,  0.2909,  0.3002,  0.2965,  0.2896,  0.2898,  0.2897,  0.2922,  0.2993,  0.3002,  0.2989,  0.2933,  0.2790,  0.2695,  0.2622,  0.2649,  0.2809,  0.3009,  0.3091,  0.3525,  0.3865,  0.3847,  0.3881,  0.3908,  0.4016,  0.4221,  0.4184,  0.4253,  0.4314,  0.4303,  0.4290,  0.4329,  0.4356,  0.4518,  0.4714,  0.4705,  0.4746,  0.4816,  0.4937,  0.5015,  0.5126,  0.5306,  0.5515,  0.5655,  0.5712,  0.5704,  0.5705,  0.5764,  0.5925,  0.5969,  0.5788,  0.5631,  0.5485,  0.5335,  0.5248,  0.5301,  0.5516,  0.5647,  0.5748,  0.5770,  0.5929,  0.6077,  0.6230,  0.6306,  0.6234,  0.6108,  0.6178,  0.6210,  0.6350,  0.6528,  0.6616,  0.6560,  0.6454,  0.6372,  0.6464,  0.6450,  0.6379,  0.6623,  0.6827,  0.6725,  0.6552,  0.6480,  0.6523,  0.6515,  0.6464,  0.6474,  0.6564,  0.6598,  0.6501,  0.6451,  0.6366,  0.6272,  0.6269,  0.6282,  0.6625,  0.6941,  0.6923,  0.6936,  0.7002,  0.7107,
  0.0691,  0.0749,  0.0812,  0.0868,  0.0932,  0.0906,  0.0858,  0.0881,  0.0940,  0.1032,  0.1153,  0.1280,  0.1395,  0.1641,  0.1814,  0.1803,  0.1646,  0.1599,  0.1558,  0.1594,  0.1702,  0.1791,  0.1908,  0.2107,  0.2350,  0.2644,  0.2734,  0.2725,  0.2812,  0.2880,  0.2912,  0.3001,  0.3058,  0.3144,  0.3169,  0.3164,  0.3151,  0.3090,  0.3082,  0.3197,  0.3467,  0.3575,  0.3518,  0.3768,  0.3847,  0.3876,  0.3904,  0.3871,  0.3968,  0.4140,  0.4189,  0.4272,  0.4316,  0.4254,  0.4200,  0.4181,  0.4177,  0.4315,  0.4365,  0.4434,  0.4503,  0.4578,  0.4630,  0.4628,  0.4714,  0.4789,  0.4888,  0.5021,  0.5112,  0.5220,  0.5331,  0.5623,  0.5772,  0.5868,  0.5788,  0.5584,  0.5386,  0.5147,  0.5019,  0.5242,  0.5390,  0.5475,  0.5425,  0.5387,  0.5548,  0.5666,  0.5864,  0.5981,  0.5804,  0.5589,  0.5749,  0.6041,  0.6346,  0.6522,  0.6550,  0.6438,  0.6290,  0.6186,  0.6310,  0.6141,  0.6110,  0.6356,  0.6360,  0.6211,  0.6040,  0.5983,  0.6038,  0.5947,  0.5920,  0.5997,  0.6172,  0.6247,  0.6198,  0.6162,  0.6096,  0.6034,  0.5909,  0.5909,  0.6100,  0.6191,  0.6254,  0.6354,  0.6515,
  0.0667,  0.0647,  0.0672,  0.0634,  0.0620,  0.0633,  0.0641,  0.0696,  0.0809,  0.0901,  0.1023,  0.1111,  0.1205,  0.1208,  0.1221,  0.1292,  0.1283,  0.1265,  0.1251,  0.1285,  0.1327,  0.1390,  0.1527,  0.1796,  0.1990,  0.2201,  0.2448,  0.2520,  0.2751,  0.2968,  0.3014,  0.3100,  0.3225,  0.3374,  0.3418,  0.3399,  0.3389,  0.3343,  0.3267,  0.3241,  0.3483,  0.3685,  0.3545,  0.3495,  0.3536,  0.3603,  0.3640,  0.3637,  0.3645,  0.3748,  0.3783,  0.3787,  0.3801,  0.3781,  0.3646,  0.3656,  0.3604,  0.3525,  0.3596,  0.3678,  0.3765,  0.3930,  0.4138,  0.4202,  0.4176,  0.4166,  0.4221,  0.4373,  0.4532,  0.4668,  0.4826,  0.4979,  0.5146,  0.5276,  0.5333,  0.5283,  0.5204,  0.5008,  0.4747,  0.4655,  0.4728,  0.4813,  0.4867,  0.4762,  0.4853,  0.4966,  0.5168,  0.5368,  0.5321,  0.4990,  0.4894,  0.5028,  0.5218,  0.5331,  0.5489,  0.5544,  0.5423,  0.5222,  0.5307,  0.5274,  0.5028,  0.5165,  0.5365,  0.5324,  0.5111,  0.4990,  0.5063,  0.5127,  0.5069,  0.5106,  0.5257,  0.5443,  0.5457,  0.5520,  0.5655,  0.5529,  0.5291,  0.5173,  0.5092,  0.5067,  0.5055,  0.5105,  0.5211,
  0.0695,  0.0727,  0.0727,  0.0700,  0.0695,  0.0697,  0.0727,  0.0814,  0.0927,  0.0993,  0.1040,  0.1088,  0.1076,  0.1044,  0.1043,  0.1123,  0.1143,  0.1114,  0.1100,  0.1147,  0.1242,  0.1298,  0.1327,  0.1387,  0.1451,  0.1592,  0.1832,  0.1951,  0.2047,  0.2295,  0.2452,  0.2513,  0.2598,  0.2668,  0.2785,  0.2849,  0.2891,  0.2863,  0.2804,  0.2773,  0.2950,  0.3169,  0.3133,  0.2894,  0.2786,  0.2828,  0.2915,  0.2938,  0.2895,  0.2910,  0.2974,  0.2891,  0.2854,  0.2791,  0.2662,  0.2674,  0.2728,  0.2673,  0.2693,  0.2765,  0.2809,  0.2898,  0.2976,  0.3075,  0.3095,  0.3031,  0.3198,  0.3635,  0.3934,  0.4052,  0.4159,  0.4208,  0.4269,  0.4406,  0.4584,  0.4688,  0.4666,  0.4485,  0.4221,  0.4037,  0.4003,  0.4049,  0.4151,  0.4057,  0.3926,  0.4066,  0.4198,  0.4460,  0.4531,  0.4288,  0.4058,  0.4021,  0.4089,  0.4186,  0.4388,  0.4627,  0.4634,  0.4556,  0.4424,  0.4479,  0.4234,  0.4186,  0.4511,  0.4611,  0.4549,  0.4433,  0.4465,  0.4581,  0.4495,  0.4370,  0.4462,  0.4713,  0.4839,  0.4934,  0.5145,  0.5213,  0.5019,  0.4830,  0.4713,  0.4608,  0.4596,  0.4630,  0.4685,
  0.0855,  0.0903,  0.0911,  0.0908,  0.0917,  0.0968,  0.1054,  0.1119,  0.1229,  0.1272,  0.1261,  0.1252,  0.1220,  0.1169,  0.1154,  0.1266,  0.1355,  0.1346,  0.1305,  0.1315,  0.1393,  0.1440,  0.1386,  0.1379,  0.1453,  0.1500,  0.1588,  0.1729,  0.1854,  0.1992,  0.2104,  0.2177,  0.2239,  0.2199,  0.2269,  0.2360,  0.2418,  0.2431,  0.2363,  0.2348,  0.2425,  0.2552,  0.2612,  0.2450,  0.2298,  0.2189,  0.2237,  0.2327,  0.2486,  0.2491,  0.2490,  0.2491,  0.2458,  0.2431,  0.2389,  0.2327,  0.2438,  0.2429,  0.2357,  0.2418,  0.2481,  0.2465,  0.2458,  0.2513,  0.2572,  0.2594,  0.2715,  0.2928,  0.2958,  0.2963,  0.3003,  0.3052,  0.3109,  0.3252,  0.3391,  0.3506,  0.3593,  0.3544,  0.3425,  0.3198,  0.3080,  0.3108,  0.3201,  0.3259,  0.3129,  0.3236,  0.3347,  0.3574,  0.3758,  0.3683,  0.3525,  0.3454,  0.3424,  0.3497,  0.3632,  0.3862,  0.4020,  0.4020,  0.3864,  0.3823,  0.3723,  0.3596,  0.3745,  0.3953,  0.3979,  0.3868,  0.3789,  0.3948,  0.4042,  0.3939,  0.3945,  0.4072,  0.4204,  0.4184,  0.4113,  0.4212,  0.4261,  0.4114,  0.3900,  0.3769,  0.3825,  0.3985,  0.3987,
  0.1837,  0.1860,  0.1921,  0.1910,  0.1895,  0.1916,  0.2022,  0.2091,  0.2193,  0.2308,  0.2345,  0.2334,  0.2289,  0.2174,  0.2109,  0.2214,  0.2437,  0.2567,  0.2594,  0.2503,  0.2512,  0.2568,  0.2561,  0.2510,  0.2648,  0.2764,  0.2847,  0.2988,  0.3135,  0.3261,  0.3399,  0.3527,  0.3595,  0.3619,  0.3647,  0.3717,  0.3821,  0.3912,  0.3805,  0.3639,  0.3553,  0.3539,  0.3691,  0.3701,  0.3524,  0.3394,  0.3398,  0.3369,  0.3448,  0.3654,  0.3740,  0.3785,  0.3794,  0.3844,  0.3861,  0.3804,  0.3821,  0.3902,  0.3868,  0.3972,  0.4050,  0.4025,  0.4050,  0.4067,  0.4095,  0.4099,  0.4019,  0.3884,  0.3753,  0.3757,  0.3831,  0.3943,  0.4062,  0.4269,  0.4414,  0.4492,  0.4630,  0.4813,  0.4842,  0.4758,  0.4623,  0.4590,  0.4586,  0.4705,  0.4653,  0.4650,  0.4698,  0.4792,  0.4996,  0.5101,  0.4981,  0.4857,  0.4665,  0.4509,  0.4413,  0.4466,  0.4600,  0.4670,  0.4636,  0.4606,  0.4648,  0.4506,  0.4476,  0.4734,  0.4836,  0.4829,  0.4696,  0.4747,  0.5046,  0.5010,  0.4981,  0.5048,  0.5214,  0.5287,  0.5148,  0.5075,  0.5187,  0.5191,  0.5019,  0.4842,  0.4646,  0.4537,  0.4455,
  0.2563,  0.2544,  0.2602,  0.2682,  0.2691,  0.2690,  0.2722,  0.2782,  0.2809,  0.2864,  0.2921,  0.2969,  0.2959,  0.2923,  0.2914,  0.2933,  0.3034,  0.3178,  0.3295,  0.3320,  0.3298,  0.3357,  0.3438,  0.3423,  0.3482,  0.3606,  0.3695,  0.3805,  0.3920,  0.3985,  0.4070,  0.4154,  0.4252,  0.4313,  0.4374,  0.4436,  0.4533,  0.4681,  0.4694,  0.4579,  0.4379,  0.4234,  0.4267,  0.4403,  0.4349,  0.4244,  0.4188,  0.4180,  0.4100,  0.4306,  0.4502,  0.4641,  0.4720,  0.4803,  0.4925,  0.4979,  0.5002,  0.5054,  0.5058,  0.5057,  0.5090,  0.5065,  0.5031,  0.5038,  0.5117,  0.5136,  0.5038,  0.4939,  0.4879,  0.4859,  0.4861,  0.4908,  0.5025,  0.5173,  0.5234,  0.5271,  0.5338,  0.5527,  0.5675,  0.5772,  0.5637,  0.5548,  0.5568,  0.5671,  0.5788,  0.5807,  0.5963,  0.6029,  0.6145,  0.6286,  0.6258,  0.6172,  0.6038,  0.5939,  0.5811,  0.5614,  0.5597,  0.5676,  0.5672,  0.5631,  0.5763,  0.5823,  0.5628,  0.5565,  0.5681,  0.5810,  0.5791,  0.5736,  0.5904,  0.6033,  0.6013,  0.6139,  0.6438,  0.6591,  0.6546,  0.6407,  0.6444,  0.6522,  0.6396,  0.6259,  0.6100,  0.6024,  0.5975,
  0.1311,  0.1344,  0.1386,  0.1475,  0.1543,  0.1574,  0.1634,  0.1754,  0.1834,  0.1831,  0.1824,  0.1803,  0.1846,  0.1882,  0.1931,  0.1965,  0.1911,  0.1912,  0.1981,  0.2083,  0.2083,  0.2119,  0.2262,  0.2402,  0.2482,  0.2597,  0.2708,  0.2751,  0.2783,  0.2817,  0.2826,  0.2872,  0.2933,  0.2970,  0.3013,  0.3032,  0.3108,  0.3195,  0.3272,  0.3288,  0.3218,  0.3103,  0.3025,  0.3103,  0.3158,  0.3167,  0.3134,  0.3115,  0.2942,  0.2970,  0.3110,  0.3317,  0.3454,  0.3571,  0.3687,  0.3769,  0.3797,  0.3818,  0.3879,  0.3838,  0.3796,  0.3843,  0.3864,  0.3933,  0.3991,  0.4023,  0.3986,  0.3833,  0.3760,  0.3746,  0.3766,  0.3813,  0.3892,  0.3930,  0.3998,  0.4059,  0.3971,  0.3824,  0.3834,  0.3811,  0.3800,  0.3723,  0.3773,  0.3841,  0.3974,  0.4041,  0.4242,  0.4435,  0.4618,  0.4763,  0.4894,  0.4833,  0.4714,  0.4622,  0.4593,  0.4404,  0.4265,  0.4328,  0.4424,  0.4441,  0.4568,  0.4676,  0.4551,  0.4405,  0.4440,  0.4520,  0.4655,  0.4587,  0.4574,  0.4774,  0.4882,  0.5069,  0.5245,  0.5301,  0.5333,  0.5273,  0.5259,  0.5361,  0.5384,  0.5379,  0.5249,  0.5041,  0.4969,
  0.1299,  0.1348,  0.1395,  0.1497,  0.1566,  0.1589,  0.1567,  0.1532,  0.1518,  0.1438,  0.1401,  0.1467,  0.1582,  0.1651,  0.1731,  0.1795,  0.1731,  0.1689,  0.1654,  0.1689,  0.1734,  0.1782,  0.1884,  0.1978,  0.2032,  0.2064,  0.2092,  0.2094,  0.2091,  0.2101,  0.2135,  0.2128,  0.2165,  0.2207,  0.2250,  0.2276,  0.2301,  0.2343,  0.2407,  0.2448,  0.2440,  0.2429,  0.2420,  0.2433,  0.2531,  0.2559,  0.2572,  0.2629,  0.2624,  0.2550,  0.2562,  0.2587,  0.2623,  0.2597,  0.2605,  0.2568,  0.2468,  0.2414,  0.2365,  0.2330,  0.2301,  0.2288,  0.2310,  0.2330,  0.2367,  0.2453,  0.2603,  0.2589,  0.2514,  0.2497,  0.2513,  0.2579,  0.2591,  0.2550,  0.2572,  0.2661,  0.2718,  0.2628,  0.2457,  0.2370,  0.2419,  0.2401,  0.2399,  0.2495,  0.2593,  0.2700,  0.2767,  0.2872,  0.3002,  0.3150,  0.3220,  0.3194,  0.3219,  0.3176,  0.3123,  0.2961,  0.2882,  0.2896,  0.2946,  0.2963,  0.2996,  0.3131,  0.3138,  0.3062,  0.3099,  0.3113,  0.3156,  0.3129,  0.3069,  0.3076,  0.3161,  0.3297,  0.3329,  0.3474,  0.3645,  0.3695,  0.3766,  0.3884,  0.3988,  0.4045,  0.4006,  0.3853,  0.3759,
