0.4571,0.4328,0.3847,0.3148,0.2809,0.2468,0.2315,0.2033,0.1757,0.1336,0.1124,0.0946,0.0901,0.0795,0.0724,0.0594,0.0508,0.0389,0.0265,0.0239,0.0248
0.4810,0.4668,0.4563,0.4198,0.3668,0.3416,0.3287,0.3101,0.2696,0.2185,0.1883,0.1581,0.1465,0.1341,0.1228,0.1102,0.1006,0.0897,0.0776,0.0689,0.0655
0.4000,0.3813,0.3637,0.3565,0.3283,0.3032,0.2918,0.2844,0.2762,0.2582,0.2387,0.2200,0.2022,0.1887,0.1826,0.1724,0.1542,0.1337,0.1052,0.0839,0.0706
0.3138,0.3034,0.2920,0.2851,0.2614,0.2386,0.2278,0.2193,0.2125,0.2072,0.2021,0.1909,0.1725,0.1630,0.1567,0.1501,0.1436,0.1331,0.1133,0.0967,0.0863
0.1636,0.1549,0.1465,0.1394,0.1110,0.1044,0.1025,0.1031,0.0977,0.0943,0.0938,0.0942,0.0851,0.0801,0.0763,0.0747,0.0769,0.0764,0.0737,0.0697,0.0644
0.1125,0.1077,0.1017,0.1015,0.0873,0.0843,0.0819,0.0821,0.0816,0.0821,0.0827,0.0845,0.0810,0.0767,0.0736,0.0684,0.0684,0.0708,0.0710,0.0692,0.0665
0.0962,0.0935,0.0883,0.0857,0.0825,0.0820,0.0810,0.0760,0.0708,0.0674,0.0683,0.0676,0.0671,0.0684,0.0684,0.0630,0.0590,0.0578,0.0536,0.0525,0.0512
0.0686,0.0699,0.0712,0.0716,0.0701,0.0693,0.0695,0.0635,0.0631,0.0641,0.0659,0.0669,0.0667,0.0661,0.0647,0.0631,0.0646,0.0647,0.0619,0.0602,0.0585
0.0643,0.0636,0.0672,0.0693,0.0668,0.0680,0.0667,0.0631,0.0604,0.0607,0.0602,0.0599,0.0606,0.0625,0.0620,0.0626,0.0606,0.0590,0.0535,0.0457,0.0481
0.0855,0.0848,0.0850,0.0864,0.0825,0.0836,0.0849,0.0834,0.0821,0.0819,0.0793,0.0776,0.0781,0.0793,0.0793,0.0804,0.0790,0.0795,0.0760,0.0622,0.0591
0.0931,0.0943,0.0944,0.0933,0.0946,0.0938,0.0906,0.0883,0.0872,0.0860,0.0800,0.0692,0.0667,0.0672,0.0666,0.0676,0.0672,0.0676,0.0673,0.0665,0.0642
0.0845,0.0845,0.0840,0.0819,0.0819,0.0822,0.0783,0.0779,0.0774,0.0768,0.0752,0.0688,0.0656,0.0661,0.0668,0.0669,0.0667,0.0646,0.0651,0.0657,0.0666
0.0791,0.0765,0.0751,0.0747,0.0733,0.0707,0.0675,0.0653,0.0655,0.0662,0.0660,0.0620,0.0557,0.0528,0.0534,0.0533,0.0536,0.0533,0.0527,0.0520,0.0529
0.0471,0.0411,0.0373,0.0410,0.0392,0.0400,0.0400,0.0373,0.0371,0.0380,0.0382,0.0375,0.0358,0.0355,0.0363,0.0350,0.0332,0.0317,0.0326,0.0314,0.0304
0.0690,0.0619,0.0620,0.0670,0.0686,0.0716,0.0747,0.0739,0.0697,0.0728,0.0743,0.0753,0.0727,0.0734,0.0735,0.0762,0.0754,0.0745,0.0739,0.0714,0.0662
0.1826,0.1726,0.1718,0.1704,0.1659,0.1669,0.1695,0.1711,0.1686,0.1673,0.1726,0.1781,0.1781,0.1803,0.1848,0.1887,0.1879,0.1888,0.1897,0.1916,0.1803
0.2247,0.2123,0.2093,0.2032,0.1992,0.1988,0.2027,0.2050,0.2035,0.1946,0.1930,0.1957,0.1926,0.1851,0.1850,0.1909,0.1914,0.1935,0.1914,0.1950,0.1920
0.3008,0.2951,0.2970,0.2878,0.2823,0.2718,0.2694,0.2716,0.2703,0.2658,0.2549,0.2515,0.2537,0.2309,0.2203,0.2239,0.2212,0.2206,0.2142,0.1838,0.1819
0.3710,0.3724,0.3580,0.3515,0.3387,0.3426,0.3380,0.3374,0.3279,0.3277,0.3116,0.2983,0.2883,0.2707,0.2485,0.2478,0.2523,0.2441,0.2332,0.1946,0.1983
0.4540,0.4534,0.4502,0.4464,0.4322,0.4230,0.4231,0.4159,0.4090,0.4036,0.3965,0.3874,0.3874,0.3895,0.3636,0.3477,0.3572,0.3521,0.3399,0.2834,0.2797
0.4359,0.4380,0.4423,0.4415,0.4288,0.4004,0.4004,0.3786,0.3798,0.3673,0.3686,0.3609,0.3559,0.3508,0.3452,0.3278,0.3214,0.3264,0.3228,0.2783,0.2714
0.4355,0.4335,0.4328,0.4377,0.4371,0.4058,0.4120,0.4087,0.3903,0.3797,0.3634,0.3635,0.3571,0.3556,0.3453,0.3303,0.3143,0.3171,0.3134,0.3025,0.2659
0.3673,0.3666,0.3600,0.3568,0.3600,0.3597,0.3500,0.3535,0.3392,0.3419,0.3252,0.3261,0.3230,0.3248,0.3182,0.3125,0.3126,0.3118,0.3162,0.3087,0.2906
0.2683,0.2683,0.2670,0.2654,0.2628,0.2563,0.2505,0.2505,0.2481,0.2429,0.2289,0.2220,0.2126,0.2072,0.2025,0.2000,0.2005,0.1999,0.1927,0.1863,0.1832
0.1850,0.1731,0.1643,0.1548,0.1445,0.1281,0.1214,0.1214,0.1205,0.1174,0.1101,0.1051,0.1029,0.1005,0.0984,0.0971,0.0976,0.0923,0.0894,0.0916,0.0897
