,0.0796,0.0098,0.0000
,0.1625,0.0151,0.0042
,0.1643,0.0207,0.0057
,0.1255,0.0484,0.0299
,0.0829,0.0354,0.0163
,0.0603,0.0200,0.0078
,0.0675,0.0112,0.0009
,0.0906,0.0310,0.0115
,0.0957,0.0526,0.0238
,0.0764,0.0465,0.0206
,0.0623,0.0374,0.0194
,0.0599,0.0419,0.0251
,0.0634,0.0495,0.0314
,0.0422,0.0199,0.0082
,0.0458,0.0320,0.0262
,0.2082,0.1496,0.1203
,0.2323,0.1145,0.0515
,0.1454,0.0029,0.0025
,0.2089,0.0469,0.0166
,0.2399,0.0850,0.0518
,0.2404,0.1182,0.0788
,0.1794,0.1005,0.0653
,0.1592,0.0801,0.0540
,0.1289,0.0841,0.0515
,0.1012,0.0551,0.0364
,0.1105,0.0775,0.0564
,0.0932,0.0709,0.0615
,0.1749,0.0896,0.0598
,0.1687,0.0682,0.0475
,0.0802,0.0297,0.0208
,0.5168,0.4369,0.4011
,0.6279,0.4700,0.3639
,0.5542,0.2826,0.1484
,0.4115,0.0526,0.0081
,0.2726,0.0102,0.0000
,0.1402,0.0104,0.0014
