0.0041,0.0035,0.0030,0.0030,0.0027,0.0024,0.0024,0.0027,0.0024,0.0020,0.0020,0.0016,0.0010,0.0009,0.0013,0.0014,0.0012,0.0008,0.0006,0.0006,0.0003,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0002,0.0002,0.0004,0.0006,0.0009,0.0012,0.0010,0.0011,0.0010,0.0009,0.0009,0.0012,0.0009,0.0006,0.0009,0.0015,0.0017,0.0028,0.0032,0.0037,0.0042,0.0041,0.0043,0.0041,0.0042,0.0045,0.0051,0.0064
0.0309,0.0315,0.0291,0.0281,0.0267,0.0270,0.0262,0.0245,0.0231,0.0202,0.0214,0.0201,0.0190,0.0174,0.0167,0.0151,0.0138,0.0123,0.0118,0.0112,0.0127,0.0123,0.0107,0.0085,0.0071,0.0073,0.0065,0.0065
0.0440,0.0450,0.0368,0.0298,0.0296,0.0301,0.0274,0.0294,0.0296,0.0318,0.0332,0.0313,0.0316,0.0294,0.0287,0.0275,0.0270,0.0265,0.0298,0.0269,0.0275,0.0258,0.0259,0.0248,0.0239,0.0239,0.0254,0.0244
0.0315,0.0315,0.0262,0.0238,0.0188,0.0233,0.0188,0.0165,0.0147,0.0151,0.0161,0.0160,0.0144,0.0213,0.0158,0.0130,0.0120,0.0120,0.0119,0.0163,0.0134,0.0106,0.0140,0.0089,0.0086,0.0083,0.0108,0.0091
0.0139,0.0134,0.0155,0.0159,0.0108,0.0105,0.0103,0.0105,0.0120,0.0115,0.0116,0.0124,0.0099,0.0108,0.0106,0.0094,0.0089,0.0101,0.0122,0.0157,0.0114,0.0087,0.0110,0.0116,0.0116,0.0121,0.0166,0.0136
0.0182,0.0181,0.0170,0.0209,0.0158,0.0153,0.0157,0.0159,0.0168,0.0155,0.0189,0.0178,0.0139,0.0136,0.0164,0.0125,0.0122,0.0124,0.0123,0.0138,0.0088,0.0093,0.0093,0.0095,0.0092,0.0089,0.0122,0.0110
0.0117,0.0135,0.0127,0.0110,0.0102,0.0091,0.0086,0.0087,0.0076,0.0061,0.0058,0.0068,0.0048,0.0046,0.0057,0.0044,0.0043,0.0043,0.0043,0.0052,0.0041,0.0040,0.0031,0.0027,0.0031,0.0020,0.0026,0.0033
0.0308,0.0290,0.0243,0.0275,0.0287,0.0246,0.0203,0.0231,0.0175,0.0194,0.0167,0.0218,0.0186,0.0185,0.0183,0.0173,0.0124,0.0124,0.0106,0.0120,0.0100,0.0101,0.0079,0.0077,0.0130,0.0084,0.0092,0.0117
0.0098,0.0119,0.0055,0.0076,0.0080,0.0066,0.0061,0.0048,0.0043,0.0041,0.0040,0.0037,0.0037,0.0034,0.0043,0.0043,0.0036,0.0037,0.0048,0.0035,0.0042,0.0039,0.0046,0.0033,0.0033,0.0025,0.0023,0.0022
0.0053,0.0061,0.0050,0.0040,0.0044,0.0036,0.0039,0.0035,0.0027,0.0023,0.0030,0.0022,0.0020,0.0019,0.0013,0.0011,0.0004,0.0004,0.0005,0.0006,0.0003,0.0002,0.0008,0.0002,0.0002,0.0002,0.0001,0.0001
0.0434,0.0401,0.0416,0.0341,0.0349,0.0371,0.0371,0.0351,0.0349,0.0340,0.0354,0.0337,0.0337,0.0358,0.0366,0.0370,0.0341,0.0336,0.0323,0.0331,0.0325,0.0322,0.0349,0.0332,0.0337,0.0357,0.0360,0.0366
0.0608,0.0590,0.0598,0.0567,0.0565,0.0559,0.0527,0.0522,0.0510,0.0492,0.0480,0.0433,0.0420,0.0497,0.0512,0.0538,0.0530,0.0466,0.0504,0.0522,0.0510,0.0476,0.0471,0.0448,0.0386,0.0365,0.0378,0.0393
0.0269,0.0264,0.0253,0.0258,0.0255,0.0245,0.0213,0.0218,0.0208,0.0217,0.0288,0.0203,0.0180,0.0237,0.0237,0.0228,0.0227,0.0245,0.0215,0.0263,0.0238,0.0218,0.0205,0.0219,0.0179,0.0183,0.0199,0.0201
0.0266,0.0260,0.0267,0.0265,0.0244,0.0254,0.0255,0.0230,0.0241,0.0210,0.0231,0.0228,0.0244,0.0227,0.0225,0.0239,0.0257,0.0263,0.0253,0.0238,0.0246,0.0239,0.0245,0.0267,0.0264,0.0270,0.0293,0.0324
