0.0925,0.0089,0.0000
0.1551,0.0233,0.0089
0.1875,0.0469,0.0113
0.1713,0.0733,0.0442
0.1100,0.0550,0.0271
0.0871,0.0387,0.0097
0.0815,0.0155,0.0037
0.0882,0.0321,0.0118
0.0881,0.0559,0.0308
0.0676,0.0457,0.0206
0.0477,0.0320,0.0149
0.0641,0.0490,0.0333
0.0670,0.0444,0.0258
0.0238,0.0024,0.0000
0.0298,0.0207,0.0166
0.0632,0.0470,0.0438
0.1658,0.1121,0.0576
0.1904,0.0592,0.0188
0.2649,0.1506,0.0954
0.3552,0.2461,0.2279
0.4266,0.3211,0.2598
0.5146,0.3237,0.1741
0.5429,0.3308,0.1738
0.3600,0.2084,0.0985
0.2494,0.1131,0.0489
0.2147,0.1086,0.0633
0.1457,0.0708,0.0487
0.1361,0.0823,0.0446
0.1062,0.0813,0.0515
0.0526,0.0825,0.0731
0.4218,0.4296,0.4096
0.2463,0.2657,0.2580
0.1881,0.1605,0.1373
0.1378,0.0585,0.0558
0.1441,0.0146,0.0092
0.0856,0.0059,0.0000
