0.3318,0.3033,0.2976,0.2927,0.2696,0.2584,0.2409,0.2287,0.1981,0.1804,0.1351,0.1070,0.0940,0.0753,0.0640,0.0486,0.0376,0.0328,0.0263,0.0233,0.0212,0.0209,0.0199,0.0155,0.0143,0.0148,0.0137,0.0108,0.0102,0.0103,0.0112,0.0106,0.0102,0.0097,0.0097,0.0092,0.0084,0.0078,0.0072,0.0070,0.0057,0.0049,0.0031,0.0021,0.0033,0.0033,0.0032,0.0012,0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan
0.3689,0.3486,0.3305,0.3281,0.3187,0.2850,0.2590,0.2536,0.2241,0.2144,0.1817,0.1521,0.1484,0.1223,0.1121,0.0974,0.0919,0.0894,0.0802,0.0728,0.0665,0.0583,0.0573,0.0507,0.0434,0.0395,0.0260,0.0177,0.0134,0.0116,0.0112,0.0105,0.0110,0.0104,0.0108,0.0117,0.0123,0.0131,0.0133,0.0137,0.0136,0.0122,0.0094,0.0084,0.0091,0.0099,0.0101,0.0097,0.0086,0.0074,0.0060,0.0062,0.0053,0.0058,0.0063,0.0071,0.0072,0.0076,0.0090,0.0096,0.0089,0.0072,0.0055,0.0037,0.0052,0.0053,0.0048,nan
0.4301,0.4189,0.3963,0.3791,0.3708,0.3469,0.3190,0.3128,0.2971,0.2792,0.2593,0.2316,0.2304,0.2157,0.2058,0.1998,0.1945,0.1869,0.1798,0.1635,0.1549,0.1445,0.1381,0.1271,0.1102,0.1010,0.0858,0.0707,0.0645,0.0641,0.0626,0.0603,0.0566,0.0531,0.0530,0.0542,0.0518,0.0507,0.0500,0.0483,0.0455,0.0452,0.0427,0.0382,0.0380,0.0394,0.0398,0.0370,0.0359,0.0342,0.0272,0.0237,0.0195,0.0218,0.0246,0.0245,0.0242,0.0243,0.0228,0.0233,0.0226,0.0188,0.0156,0.0148,0.0166,0.0166,0.0168,nan
0.2735,0.2660,0.2513,0.2405,0.2326,0.2242,0.1979,0.1841,0.1713,0.1585,0.1559,0.1411,0.1409,0.1353,0.1122,0.1047,0.1000,0.0974,0.0954,0.0950,0.0945,0.0946,0.0918,0.0911,0.0859,0.0828,0.0829,0.0732,0.0656,0.0637,0.0620,0.0595,0.0587,0.0553,0.0520,0.0519,0.0518,0.0531,0.0529,0.0543,0.0552,0.0549,0.0528,0.0462,0.0434,0.0438,0.0456,0.0452,0.0450,0.0451,0.0429,0.0398,0.0324,0.0310,0.0296,0.0290,0.0299,0.0300,0.0297,0.0283,0.0294,0.0270,0.0238,0.0217,0.0206,0.0212,0.0220,nan
0.1324,0.1270,0.1146,0.1032,0.0938,0.0916,0.0824,0.0746,0.0643,0.0613,0.0624,0.0610,0.0596,0.0589,0.0502,0.0471,0.0476,0.0479,0.0488,0.0499,0.0499,0.0510,0.0509,0.0519,0.0496,0.0475,0.0460,0.0456,0.0414,0.0393,0.0401,0.0406,0.0413,0.0404,0.0399,0.0384,0.0385,0.0414,0.0419,0.0432,0.0434,0.0425,0.0424,0.0366,0.0335,0.0336,0.0331,0.0330,0.0333,0.0349,0.0348,0.0346,0.0302,0.0246,0.0239,0.0241,0.0248,0.0247,0.0251,0.0261,0.0267,0.0274,0.0236,0.0209,0.0206,0.0224,0.0242,nan
0.0563,0.0567,0.0549,0.0508,0.0463,0.0457,0.0445,0.0399,0.0382,0.0376,0.0400,0.0406,0.0391,0.0382,0.0333,0.0271,0.0239,0.0250,0.0262,0.0261,0.0259,0.0263,0.0251,0.0251,0.0231,0.0218,0.0216,0.0229,0.0225,0.0200,0.0176,0.0169,0.0185,0.0175,0.0139,0.0121,0.0111,0.0112,0.0115,0.0141,0.0140,0.0147,0.0132,0.0125,0.0108,0.0081,0.0084,0.0084,0.0080,0.0086,0.0093,0.0095,0.0081,0.0053,0.0048,0.0051,0.0046,0.0047,0.0054,0.0055,0.0058,0.0062,0.0057,0.0048,0.0034,0.0031,0.0040,nan
0.1205,0.1186,0.1129,0.1098,0.0993,0.0966,0.0950,0.0866,0.0787,0.0777,0.0761,0.0773,0.0726,0.0666,0.0616,0.0543,0.0467,0.0394,0.0418,0.0393,0.0327,0.0304,0.0295,0.0293,0.0252,0.0250,0.0262,0.0214,0.0175,0.0172,0.0152,0.0143,0.0141,0.0143,0.0134,0.0123,0.0093,0.0079,0.0082,0.0089,0.0087,0.0088,0.0077,0.0078,0.0070,0.0039,0.0037,0.0037,0.0036,0.0032,0.0040,0.0042,0.0042,0.0029,0.0026,0.0027,0.0016,0.0015,0.0012,0.0014,0.0010,0.0011,0.0008,0.0005,0.0002,0.0001,0.0001,nan
0.1520,0.1376,0.1372,0.1323,0.1346,0.1240,0.1236,0.1059,0.0817,0.0821,0.0770,0.0778,0.0771,0.0700,0.0611,0.0558,0.0523,0.0442,0.0436,0.0425,0.0411,0.0424,0.0414,0.0410,0.0383,0.0356,0.0366,0.0319,0.0271,0.0290,0.0227,0.0189,0.0190,0.0183,0.0176,0.0176,0.0151,0.0126,0.0129,0.0121,0.0116,0.0130,0.0106,0.0107,0.0079,0.0069,0.0060,0.0060,0.0052,0.0046,0.0041,0.0031,0.0030,0.0023,0.0016,0.0011,0.0009,0.0009,0.0009,0.0010,0.0011,0.0010,0.0010,0.0008,0.0008,0.0007,0.0007,nan
0.0642,0.0628,0.0643,0.0597,0.0599,0.0578,0.0588,0.0566,0.0443,0.0448,0.0431,0.0416,0.0422,0.0410,0.0368,0.0363,0.0349,0.0340,0.0335,0.0335,0.0351,0.0358,0.0358,0.0356,0.0347,0.0336,0.0352,0.0335,0.0304,0.0302,0.0283,0.0259,0.0255,0.0290,0.0300,0.0288,0.0291,0.0247,0.0231,0.0218,0.0233,0.0233,0.0222,0.0208,0.0175,0.0161,0.0155,0.0149,0.0139,0.0117,0.0080,0.0077,0.0071,0.0065,0.0060,0.0055,0.0030,0.0036,0.0034,0.0038,0.0043,0.0039,0.0039,0.0037,0.0036,0.0031,0.0039,nan
0.0684,0.0606,0.0592,0.0594,0.0571,0.0562,0.0567,0.0541,0.0470,0.0464,0.0472,0.0431,0.0444,0.0442,0.0417,0.0405,0.0382,0.0325,0.0295,0.0310,0.0322,0.0308,0.0325,0.0326,0.0271,0.0252,0.0226,0.0213,0.0203,0.0203,0.0202,0.0193,0.0173,0.0169,0.0173,0.0186,0.0182,0.0160,0.0149,0.0146,0.0142,0.0126,0.0102,0.0090,0.0088,0.0084,0.0089,0.0053,0.0046,0.0042,0.0040,0.0041,0.0040,0.0039,0.0031,0.0029,0.0028,0.0027,0.0025,0.0027,0.0028,0.0022,0.0022,0.0024,0.0025,0.0013,0.0022,nan
0.0810,0.0739,0.0679,0.0654,0.0624,0.0612,0.0618,0.0582,0.0539,0.0475,0.0452,0.0445,0.0421,0.0425,0.0489,0.0439,0.0433,0.0392,0.0342,0.0347,0.0362,0.0352,0.0361,0.0330,0.0303,0.0293,0.0227,0.0190,0.0173,0.0149,0.0148,0.0150,0.0140,0.0139,0.0134,0.0137,0.0130,0.0109,0.0096,0.0095,0.0089,0.0084,0.0079,0.0073,0.0064,0.0060,0.0075,0.0068,0.0047,0.0055,0.0041,0.0038,0.0038,0.0040,0.0038,0.0030,0.0033,0.0034,0.0029,0.0028,0.0033,0.0030,0.0031,0.0023,0.0025,0.0020,0.0017,nan
0.0730,0.0718,0.0663,0.0645,0.0624,0.0644,0.0660,0.0625,0.0607,0.0603,0.0579,0.0579,0.0561,0.0568,0.0573,0.0544,0.0519,0.0502,0.0469,0.0462,0.0496,0.0492,0.0489,0.0486,0.0490,0.0474,0.0480,0.0455,0.0405,0.0391,0.0368,0.0388,0.0388,0.0396,0.0396,0.0387,0.0380,0.0369,0.0316,0.0345,0.0347,0.0341,0.0349,0.0354,0.0366,0.0363,0.0350,0.0332,0.0317,0.0314,0.0296,0.0260,0.0263,0.0272,0.0248,0.0234,0.0236,0.0236,0.0229,0.0202,0.0229,0.0208,0.0241,0.0192,0.0211,0.0223,0.0200,nan
0.0833,0.0832,0.0813,0.0787,0.0756,0.0757,0.0781,0.0789,0.0751,0.0755,0.0714,0.0701,0.0693,0.0675,0.0700,0.0696,0.0685,0.0662,0.0630,0.0573,0.0560,0.0561,0.0574,0.0586,0.0568,0.0554,0.0574,0.0567,0.0495,0.0480,0.0439,0.0468,0.0490,0.0508,0.0494,0.0473,0.0471,0.0416,0.0343,0.0377,0.0383,0.0396,0.0368,0.0390,0.0412,0.0419,0.0417,0.0414,0.0398,0.0399,0.0388,0.0334,0.0312,0.0338,0.0330,0.0334,0.0312,0.0280,0.0249,0.0237,0.0230,0.0258,0.0286,0.0282,0.0257,0.0266,0.0244,nan
