0.1040,0.0103,0.0021
0.1998,0.0327,0.0179
0.2177,0.0574,0.0329
0.1807,0.0832,0.0535
0.1216,0.0579,0.0332
0.0817,0.0321,0.0148
0.0803,0.0182,0.0067
0.0917,0.0281,0.0066
0.0964,0.0545,0.0255
0.0747,0.0447,0.0183
0.0602,0.0406,0.0231
0.0693,0.0554,0.0382
0.0677,0.0531,0.0355
0.0338,0.0163,0.0071
0.0308,0.0263,0.0251
0.1272,0.1138,0.1065
0.2186,0.1495,0.0918
0.2015,0.0599,0.0238
0.2633,0.1123,0.0572
0.3168,0.1658,0.0698
0.3259,0.1641,0.0644
0.3294,0.1353,0.0671
0.3655,0.1672,0.1046
0.2366,0.1057,0.0551
0.1437,0.0454,0.0261
0.1342,0.0615,0.0338
0.0744,0.0429,0.0354
0.0647,0.0239,0.0047
0.0442,0.0200,0.0088
0.0217,0.0200,0.0158
0.4015,0.3823,0.3445
0.3643,0.3092,0.2894
0.3305,0.2334,0.2109
0.3281,0.1179,0.1032
0.2476,0.0324,0.0149
0.1272,0.0137,0.0023
