0.3414,0.3349,0.3161,0.2860,0.2840,0.2519,0.2280,0.2051,0.1845,0.1662,0.1498,0.1327,0.1179,0.0975,0.0933,0.0794,0.0747,0.0661,0.0532,0.0414,0.0313,0.0290,0.0270,0.0263,0.0241,0.0227,0.0203,0.0182,0.0172,0.0158,0.0158,0.0146,0.0140,0.0091,0.0079
0.2819,0.2668,0.2597,0.2356,0.2221,0.2001,0.1573,0.1285,0.1143,0.1010,0.0915,0.0866,0.0795,0.0598,0.0633,0.0544,0.0502,0.0453,0.0421,0.0361,0.0334,0.0317,0.0299,0.0292,0.0278,0.0261,0.0247,0.0228,0.0208,0.0202,0.0168,0.0163,0.0131,0.0085,0.0081
0.1301,0.1266,0.1164,0.1094,0.1007,0.0984,0.0941,0.0847,0.0776,0.0733,0.0735,0.0737,0.0715,0.0714,0.0718,0.0704,0.0696,0.0686,0.0668,0.0663,0.0638,0.0641,0.0630,0.0622,0.0594,0.0587,0.0528,0.0478,0.0455,0.0417,0.0409,0.0474,0.0438,0.0418,0.0442
0.1362,0.1289,0.1227,0.1219,0.1217,0.1231,0.1234,0.1161,0.1094,0.1050,0.1078,0.1072,0.1074,0.1096,0.1082,0.1107,0.1124,0.1158,0.1182,0.1184,0.1167,0.1131,0.1119,0.1118,0.1093,0.1092,0.1072,0.1015,0.0991,0.1014,0.1009,0.1073,0.0964,0.0970,0.0915
0.1001,0.0928,0.0904,0.0890,0.0902,0.0905,0.0892,0.0890,0.0853,0.0855,0.0806,0.0785,0.0768,0.0746,0.0743,0.0747,0.0722,0.0726,0.0730,0.0717,0.0687,0.0645,0.0623,0.0599,0.0594,0.0583,0.0582,0.0552,0.0538,0.0540,0.0552,0.0536,0.0536,0.0452,0.0422
0.0957,0.0948,0.0925,0.0931,0.0938,0.0936,0.0908,0.0864,0.0806,0.0808,0.0790,0.0754,0.0735,0.0718,0.0700,0.0691,0.0659,0.0656,0.0632,0.0616,0.0589,0.0568,0.0528,0.0482,0.0421,0.0437,0.0387,0.0358,0.0360,0.0382,0.0405,0.0399,0.0410,0.0295,0.0284
0.1652,0.1560,0.1453,0.1370,0.1350,0.1325,0.1312,0.1203,0.1033,0.1012,0.0991,0.0933,0.0920,0.0909,0.0899,0.0845,0.0778,0.0713,0.0666,0.0616,0.0540,0.0504,0.0482,0.0507,0.0258,0.0228,0.0190,0.0187,0.0182,0.0188,0.0187,0.0177,0.0177,0.0176,0.0152
0.1261,0.1163,0.1112,0.1122,0.1091,0.1058,0.1034,0.0875,0.0765,0.0740,0.0761,0.0742,0.0743,0.0714,0.0703,0.0655,0.0582,0.0518,0.0528,0.0483,0.0447,0.0418,0.0399,0.0480,0.0290,0.0265,0.0257,0.0243,0.0237,0.0238,0.0222,0.0196,0.0191,0.0170,0.0142
0.0945,0.0933,0.0960,0.0980,0.0913,0.0968,0.0976,0.0848,0.0794,0.0797,0.0786,0.0840,0.0866,0.0816,0.0817,0.0778,0.0736,0.0729,0.0722,0.0736,0.0721,0.0726,0.0727,0.0768,0.0590,0.0563,0.0590,0.0581,0.0582,0.0552,0.0565,0.0575,0.0559,0.0574,0.0528
0.0768,0.0807,0.0810,0.0801,0.0740,0.0768,0.0816,0.0750,0.0694,0.0691,0.0703,0.0695,0.0704,0.0680,0.0670,0.0646,0.0597,0.0558,0.0548,0.0529,0.0500,0.0494,0.0476,0.0465,0.0450,0.0382,0.0396,0.0391,0.0390,0.0329,0.0340,0.0332,0.0338,0.0311,0.0286
0.0422,0.0402,0.0368,0.0338,0.0275,0.0263,0.0285,0.0270,0.0256,0.0248,0.0233,0.0240,0.0243,0.0250,0.0255,0.0240,0.0242,0.0214,0.0212,0.0211,0.0205,0.0199,0.0191,0.0175,0.0170,0.0171,0.0175,0.0188,0.0181,0.0171,0.0177,0.0148,0.0136,0.0130,0.0145
