0.3414,0.3349,0.3161,0.2860,0.2840,0.2519,0.2280,0.2051,0.1845,0.1662,0.1498,0.1327,0.1179,0.0975,0.0933,0.0794,0.0747,0.0661,0.0532,0.0414,0.0313
0.2819,0.2668,0.2597,0.2356,0.2221,0.2001,0.1573,0.1285,0.1143,0.1010,0.0915,0.0866,0.0795,0.0598,0.0633,0.0544,0.0502,0.0453,0.0421,0.0361,0.0334
0.1301,0.1266,0.1164,0.1094,0.1007,0.0984,0.0941,0.0847,0.0776,0.0733,0.0735,0.0737,0.0715,0.0714,0.0718,0.0704,0.0696,0.0686,0.0668,0.0663,0.0638
0.1362,0.1289,0.1227,0.1219,0.1217,0.1231,0.1234,0.1161,0.1094,0.1050,0.1078,0.1072,0.1074,0.1096,0.1082,0.1107,0.1124,0.1158,0.1182,0.1184,0.1167
0.1001,0.0928,0.0904,0.0890,0.0902,0.0905,0.0892,0.0890,0.0853,0.0855,0.0806,0.0785,0.0768,0.0746,0.0743,0.0747,0.0722,0.0726,0.0730,0.0717,0.0687
0.0957,0.0948,0.0925,0.0931,0.0938,0.0936,0.0908,0.0864,0.0806,0.0808,0.0790,0.0754,0.0735,0.0718,0.0700,0.0691,0.0659,0.0656,0.0632,0.0616,0.0589
0.1652,0.1560,0.1453,0.1370,0.1350,0.1325,0.1312,0.1203,0.1033,0.1012,0.0991,0.0933,0.0920,0.0909,0.0899,0.0845,0.0778,0.0713,0.0666,0.0616,0.0540
0.1261,0.1163,0.1112,0.1122,0.1091,0.1058,0.1034,0.0875,0.0765,0.0740,0.0761,0.0742,0.0743,0.0714,0.0703,0.0655,0.0582,0.0518,0.0528,0.0483,0.0447
0.0945,0.0933,0.0960,0.0980,0.0913,0.0968,0.0976,0.0848,0.0794,0.0797,0.0786,0.0840,0.0866,0.0816,0.0817,0.0778,0.0736,0.0729,0.0722,0.0736,0.0721
0.0768,0.0807,0.0810,0.0801,0.0740,0.0768,0.0816,0.0750,0.0694,0.0691,0.0703,0.0695,0.0704,0.0680,0.0670,0.0646,0.0597,0.0558,0.0548,0.0529,0.0500
0.0422,0.0402,0.0368,0.0338,0.0275,0.0263,0.0285,0.0270,0.0256,0.0248,0.0233,0.0240,0.0243,0.0250,0.0255,0.0240,0.0242,0.0214,0.0212,0.0211,0.0205
0.0728,0.0704,0.0709,0.0646,0.0634,0.0632,0.0590,0.0597,0.0592,0.0593,0.0626,0.0610,0.0622,0.0629,0.0610,0.0579,0.0573,0.0594,0.0546,0.0480,0.0497
0.0824,0.0823,0.0776,0.0681,0.0679,0.0656,0.0648,0.0656,0.0656,0.0678,0.0707,0.0695,0.0693,0.0724,0.0722,0.0723,0.0744,0.0752,0.0643,0.0589,0.0657
0.0867,0.0885,0.0860,0.0757,0.0697,0.0646,0.0642,0.0675,0.0662,0.0701,0.0683,0.0643,0.0626,0.0600,0.0595,0.0657,0.0613,0.0614,0.0590,0.0568,0.0525
0.0849,0.0781,0.0796,0.0757,0.0662,0.0658,0.0619,0.0639,0.0607,0.0680,0.0534,0.0504,0.0519,0.0459,0.0407,0.0471,0.0473,0.0423,0.0450,0.0465,0.0370
0.2206,0.2046,0.1965,0.1923,0.2001,0.2052,0.2026,0.1928,0.2032,0.2090,0.1934,0.1960,0.2047,0.2071,0.2039,0.2126,0.1953,0.2033,0.1923,0.1933,0.1726
0.2782,0.2741,0.2584,0.2569,0.2587,0.2553,0.2535,0.2462,0.2458,0.2303,0.2197,0.2121,0.1943,0.1896,0.1987,0.1987,0.1923,0.1870,0.1947,0.1929,0.1807
0.3064,0.2855,0.2698,0.2627,0.2582,0.2523,0.2436,0.2383,0.2334,0.2282,0.2232,0.2199,0.1927,0.1914,0.1770,0.1725,0.1719,0.1691,0.1686,0.1684,0.1652
0.2812,0.2713,0.2577,0.2554,0.2519,0.2477,0.2432,0.2333,0.2223,0.2215,0.2143,0.2101,0.2060,0.1908,0.1832,0.1815,0.1720,0.1615,0.1591,0.1603,0.1535
0.3607,0.3590,0.3512,0.3469,0.3394,0.3385,0.3374,0.3286,0.3120,0.3043,0.2956,0.2860,0.2880,0.2386,0.2470,0.2713,0.2630,0.2410,0.2202,0.2214,0.2171
0.3891,0.3851,0.3806,0.3740,0.3671,0.3605,0.3566,0.3497,0.3452,0.3469,0.3464,0.3430,0.3438,0.2988,0.3000,0.3159,0.3148,0.3131,0.2955,0.3108,0.3158
0.3792,0.3731,0.3753,0.3678,0.3717,0.3741,0.3629,0.3587,0.3401,0.3560,0.3565,0.3595,0.3530,0.3503,0.3320,0.3012,0.3075,0.3151,0.3099,0.3086,0.3128
0.3396,0.3389,0.3290,0.3307,0.3325,0.3280,0.3251,0.3226,0.3122,0.3142,0.3194,0.3173,0.3107,0.3058,0.3100,0.2835,0.2749,0.2961,0.2908,0.2786,0.2746
0.2697,0.2689,0.2491,0.2646,0.2525,0.2522,0.2558,0.2549,0.2545,0.2483,0.2502,0.2481,0.2462,0.2399,0.2364,0.2469,0.2319,0.2311,0.2356,0.2324,0.2252
0.2281,0.2304,0.1964,0.2104,0.2109,0.2113,0.2034,0.2048,0.2029,0.1998,0.1950,0.1898,0.1866,0.1796,0.1748,0.1700,0.1735,0.1692,0.1584,0.1613,0.1575
0.2014,0.1990,0.1893,0.1750,0.1768,0.1817,0.1801,0.1828,0.1847,0.1841,0.1806,0.1780,0.1736,0.1760,0.1670,0.1599,0.1565,0.1574,0.1553,0.1547,0.1471
0.1374,0.1314,0.1289,0.1213,0.0961,0.0962,0.0982,0.1015,0.1041,0.1041,0.1020,0.1001,0.1001,0.0985,0.0955,0.1002,0.0998,0.0993,0.0986,0.0958,0.0912
0.1499,0.1406,0.1349,0.1333,0.1265,0.1097,0.1060,0.1044,0.0974,0.0810,0.0760,0.0727,0.0701,0.0605,0.0598,0.0531,0.0530,0.0508,0.0479,0.0448,0.0420
0.1372,0.1294,0.1213,0.1240,0.1217,0.1094,0.1050,0.1045,0.0983,0.0866,0.0794,0.0770,0.0727,0.0725,0.0740,0.0738,0.0735,0.0702,0.0631,0.0650,0.0628
0.0441,0.0436,0.0422,0.0427,0.0420,0.0417,0.0416,0.0414,0.0430,0.0407,0.0392,0.0403,0.0364,0.0395,0.0366,0.0372,0.0393,0.0375,0.0349,0.0323,0.0315
0.5000,0.5043,0.5035,0.5146,0.5185,0.5201,0.5243,0.5247,0.5254,0.5191,0.5159,0.5110,0.4947,0.4864,0.5011,0.5173,0.5127,0.5253,0.5199,0.5231,0.5251
