0.3950,0.3839,0.3609,0.3303,0.3123,0.2768,0.2463,0.2252,0.2017,0.1857,0.1622,0.1464,0.1295
0.3278,0.3039,0.2943,0.2650,0.2487,0.2115,0.1640,0.1345,0.1176,0.1021,0.0935,0.0851,0.0762
0.1436,0.1371,0.1278,0.1147,0.1078,0.1053,0.0939,0.0832,0.0762,0.0713,0.0694,0.0692,0.0671
0.1178,0.1097,0.1022,0.1010,0.0995,0.1013,0.1003,0.0934,0.0859,0.0803,0.0819,0.0809,0.0815
0.0874,0.0795,0.0757,0.0757,0.0745,0.0765,0.0772,0.0754,0.0716,0.0683,0.0643,0.0596,0.0581
0.0878,0.0847,0.0864,0.0880,0.0890,0.0877,0.0870,0.0853,0.0814,0.0776,0.0724,0.0671,0.0631
0.1820,0.1720,0.1601,0.1535,0.1520,0.1476,0.1392,0.1303,0.1226,0.1164,0.1100,0.1040,0.1016
0.1406,0.1359,0.1318,0.1252,0.1211,0.1151,0.1019,0.0984,0.0990,0.0926,0.0891,0.0873,0.0836
0.0835,0.0846,0.0826,0.0821,0.0801,0.0801,0.0736,0.0691,0.0677,0.0677,0.0666,0.0671,0.0650
0.0559,0.0577,0.0581,0.0580,0.0557,0.0579,0.0563,0.0522,0.0520,0.0509,0.0511,0.0501,0.0495
0.0319,0.0266,0.0238,0.0220,0.0207,0.0206,0.0216,0.0198,0.0213,0.0226,0.0210,0.0199,0.0197
0.0665,0.0609,0.0610,0.0575,0.0569,0.0575,0.0601,0.0565,0.0569,0.0577,0.0562,0.0569,0.0564
0.0685,0.0621,0.0562,0.0484,0.0483,0.0487,0.0502,0.0491,0.0492,0.0502,0.0501,0.0501,0.0509
0.0853,0.0805,0.0756,0.0667,0.0605,0.0581,0.0603,0.0599,0.0584,0.0586,0.0583,0.0559,0.0583
0.0854,0.0812,0.0775,0.0683,0.0660,0.0685,0.0662,0.0601,0.0575,0.0605,0.0536,0.0516,0.0546
0.2344,0.2236,0.2173,0.2140,0.2064,0.2103,0.2061,0.1963,0.2042,0.2067,0.1998,0.1988,0.2033
0.2462,0.2477,0.2404,0.2425,0.2349,0.2273,0.2253,0.2181,0.2124,0.1977,0.1851,0.1749,0.1586
0.3267,0.3024,0.2917,0.2849,0.2829,0.2743,0.2596,0.2536,0.2495,0.2392,0.2353,0.2263,0.2000
0.3218,0.3089,0.2980,0.2932,0.2907,0.2851,0.2746,0.2616,0.2545,0.2554,0.2454,0.2415,0.2250
0.3916,0.3900,0.3815,0.3787,0.3746,0.3707,0.3694,0.3544,0.3443,0.3320,0.3235,0.3199,0.3122
0.4064,0.4082,0.4024,0.3952,0.3904,0.3821,0.3769,0.3651,0.3623,0.3610,0.3613,0.3586,0.3604
0.3888,0.3857,0.3841,0.3799,0.3852,0.3858,0.3759,0.3685,0.3542,0.3566,0.3567,0.3617,0.3554
0.3594,0.3531,0.3465,0.3458,0.3468,0.3428,0.3443,0.3419,0.3290,0.3272,0.3263,0.3265,0.3213
0.2792,0.2729,0.2642,0.2674,0.2580,0.2538,0.2627,0.2656,0.2632,0.2579,0.2573,0.2535,0.2526
0.2436,0.2409,0.2188,0.2201,0.2191,0.2148,0.2132,0.2153,0.2126,0.2100,0.2053,0.1977,0.1951
0.1834,0.1810,0.1715,0.1635,0.1562,0.1551,0.1522,0.1534,0.1548,0.1554,0.1553,0.1503,0.1432
0.1230,0.1155,0.1143,0.1069,0.0900,0.0860,0.0826,0.0823,0.0819,0.0829,0.0833,0.0829,0.0815
0.1608,0.1521,0.1475,0.1429,0.1301,0.1232,0.1190,0.1118,0.0994,0.0862,0.0856,0.0805,0.0746
0.1105,0.1031,0.0981,0.0965,0.0905,0.0793,0.0753,0.0732,0.0653,0.0544,0.0491,0.0442,0.0422
0.0017,0.0013,0.0010,0.0013,0.0014,0.0010,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
0.4607,0.4627,0.4649,0.4730,0.4758,0.4818,0.4909,0.4911,0.4921,0.4856,0.4811,0.4737,0.4651
0.6645,0.6586,0.6580,0.6633,0.6625,0.6722,0.6712,0.6816,0.6825,0.6821,0.6871,0.6790,0.6511
0.6763,0.6807,0.6845,0.6846,0.6759,0.6702,0.6627,0.6629,0.6541,0.6599,0.6623,0.6766,0.6679
0.5490,0.5465,0.5328,0.5339,0.5212,0.5085,0.4959,0.4929,0.4875,0.4987,0.5009,0.5048,0.4999
0.4759,0.4631,0.4446,0.4384,0.4143,0.3933,0.3877,0.3824,0.3827,0.3753,0.3769,0.3795,0.3707
0.4030,0.3827,0.3706,0.3564,0.3343,0.3149,0.2995,0.2939,0.2811,0.2707,0.2638,0.2536,0.2498
