#RGB file for SIPN submissions
Petty-NASA,      0.8901960784313725, 0.10196078431372549, 0.10980392156862745
FIO-ESM,         1.0, 0.49803921568627452, 0.0
Lamont,          0.20000000000000001, 0.62745098039215685, 0.17254901960784313
barreira,        0.65098039215686276, 0.80784313725490198, 0.8901960784313725
Nico-Sun,        0.792156862745098,   0.69803921568627447, 0.83921568627450982
ucl,             0.41568627450980394, 0.23921568627450981, 0.60392156862745094
nasa-gmao,       0.99215686274509807, 0.74901960784313726, 0.43529411764705883
nrl,             0.12156862745098039, 0.47058823529411764, 0.70588235294117652
Modified-CanSIPS,0.69803921568627447, 0.87450980392156863, 0.54117647058823526
MetOffice,       0.98431372549019602, 0.60392156862745094, 0.59999999999999998
ecmwf,		 0.69411764705882351, 0.34901960784313724, 0.15686274509803921
CMCC,		1.0, 1.0, 0.59999999999999998
CNRM,       0.98, 0.58, 0.88
